우선순위,시설유형,시설명,도로명주소,지번주소,위도,경도,관리주체,데이터일자
1,업무시설,경기도보건환경연구원,경기도 수원시 권선구 칠보로1번길 62,경기도 수원시 권선구 금곡동 746-2,37.268643,126.935548,공공,2021-11-30
1,업무시설,경기남부 보훈지청,경기도  수원시 장안구 조원로 8,경기도 수원시 장안구 영화동 15-5,37.295726,127.022745,공공,2021-11-30
1,업무시설,수원시환경성질환아토피센터,경기도 수원시 장안구 수일로233번길 144,경기도 수원시 장안구 조원동 9-2,37.307321,127.021552,공공,2021-11-30
1,업무시설,한국법무보호복지공단경기지부,경기도 수원시 장안구 천천로 126,경기도 수원시 장안구 천천동 483,37.302961,126.982741,공공,2021-11-30
1,업무시설,경기도교육청,경기도 수원시 장안구 조원로 18,경기도 수원시 장안구 조원동 495,37.298193,127.023022,공공,2021-11-30
1,업무시설,보훈교육연구원,경기도 수원시 장안구 광교산로 69,경기도 수원시 장안구 영화동 15-2,37.296009,127.024696,공공,2021-11-30
2,업무시설,경기고용노동지청,경기도 수원시 장안구 서부로 2166,경기도 수원시 장안구 천천동 575-5,37.301565,126.973456,공공,2021-11-30
1,업무시설,경기도교육정보연구원,경기도 수원시 장안구 수성로 421,경기도 수원시 장안구 조원동 536-2,37.296115,127.017469,공공,2021-11-30
2,업무시설,경기도수원교육지원청,경기도 수원시 장안구 경수대로 792,경기도 수원시 장안구 영화동 107-12,37.292944,127.019107,공공,2021-11-30
1,업무시설,수원상공회의소근로복지공단(수원지사),경기도 수원시 장안구 수성로 311,경기도 수원시 장안구 정자동 80-17,37.291977,127.005988,공공,2021-11-30
1,업무시설,한국지역난방공사 장안열원,경기도 수원시 장안구 덕영대로 623,경기도 수원시 장안구 정자동 926,37.290681,126.986423,공공,2021-11-30
3,업무시설,케이티엔지경기본부,경기도 수원시 팔달구 덕영대로697번길 77,경기도 수원시 팔달구 화서동 647-3,37.286281,126.993808,민간,2021-11-30
