인구이동_기점,인구이동_종점,0세_19세 일평균 외부유입 인구,20세_39세 일평균 외부유입 인구,40세_64세 일평균 외부유입 인구,65세 이상 일평균 외부유입 인구,남성_일평균 외부유입 인구,여성_일평균 외부유입 인구,2020년 1월_일평균 외부유입 인구,2020년 2월_일평균 외부유입 인구,2020년 3월_일평균 외부유입 인구,2020년 4월_일평균 외부유입 인구,2020년 5월_일평균 외부유입 인구,2020년 6월_일평균 외부유입 인구,2020년 7월_일평균 외부유입 인구,2020년 8월_일평균 외부유입 인구,2020년 9월_일평균 외부유입 인구,2020년 10월_일평균 외부유입 인구,2020년 11월_일평균 외부유입 인구,2020년 12월_일평균 외부유입 인구,주중_새벽(0시-6시)_일평균 외부유입 인구,주중_출근(7시-9시)_일평균 외부유입 인구,주중_주간(10시-17시)_일평균 외부유입 인구,주중_퇴근(18시-20시)_일평균 외부유입 인구,주중_야간(21시-23시)_일평균 외부유입 인구,주말_첨두시(11시-19시)_일평균 외부유입 인구,주말_비첨두시(20시-10시)_일평균 외부유입 인구,데이터기준일자
과천시,세류3동,0.99,19.25,8.58,0.56,5.79,23.58,25.46,21.89,12.47,19.5,7.28,7.58,10.66,77.35,18.43,88.07,13.11,25.44,4.52,3.02,12.81,2.07,2.91,12.86,13.73,2021-11-30
과천시,송죽동,3.32,27.07,35.69,1.51,40.13,27.46,67.84,71.81,60.84,56.74,63.4,98.04,76.89,64.03,68.22,76.89,57.24,49.97,5.84,12.35,42.21,6.98,6.45,24.31,26.91,2021-11-30
과천시,연무동,2.08,60.23,61.32,23.61,62.81,84.43,137.29,111.26,131.79,158.01,199.55,154.04,140.37,160.78,158.04,166.11,136.22,111.68,8.38,21.41,102.41,15.39,11.68,39.5,77.46,2021-11-30
과천시,영통1동,1.7,16.37,52.83,2.14,34.44,38.6,72.87,126.38,167.83,70.13,67.08,51.65,67.31,50.44,68.94,46.96,44.15,44.27,6.56,11.09,43.63,8.2,6.44,30.96,34.79,2021-11-30
과천시,영통2동,3.03,56.39,50.19,1.25,49.67,61.19,124.74,119.16,123.08,95.86,107.98,139.58,120.47,83.08,115.66,106.1,88.65,106.39,5.27,19.16,69.02,14.04,11.48,38.76,51.65,2021-11-30
과천시,영통3동,3.98,76.49,74.8,3.84,79.97,79.13,212.51,182.56,172.57,167.69,170.03,220.47,163.09,103.61,132.98,131.53,144.51,110.15,12.29,23.74,104.78,17.6,17.99,52.46,63.06,2021-11-30
과천시,영화동,3.73,59.34,99.25,7.94,90.37,79.89,185.12,175.92,137.28,135.27,140.31,164.57,166.61,157.17,171.41,243.07,198.94,167.52,15.28,17.89,116.19,18.29,16.84,57.95,76.48,2021-11-30
과천시,우만1동,2.95,44.5,46.75,34.9,45.76,83.35,94.88,164.53,106.51,136.6,149.86,175.14,152.01,112.36,127.98,111.48,112.89,108.53,8.85,18.87,85.11,13.36,9.05,39.34,74.34,2021-11-30
과천시,우만2동,8.81,19.96,33.75,14.34,24.71,52.15,71.82,126.03,61.11,61.95,53.81,71.65,61.96,75.61,107.6,81.96,80.39,72.13,8.19,10.56,42.84,5.72,8.34,39.18,40.77,2021-11-30
과천시,원천동,11.13,110.63,260.87,8.49,163.14,227.98,407.72,348.09,467.36,357.48,333.04,417.65,472.24,295.18,455.98,345.43,431.45,362.16,32.6,96.48,286.52,32.42,28.5,80.22,95.75,2021-11-30
과천시,율천동,27.27,208.65,352.17,37.51,207.92,417.67,699.41,555.61,517.53,569.79,566.88,602.32,605.39,598.27,744.54,766.56,673.91,605.2,41.78,110.06,431.77,68.76,57.12,170.15,244.07,2021-11-30
과천시,인계동,6.36,162.86,153.73,14.47,116.19,221.23,360.15,399.26,332.53,319.38,304.59,371.34,370.4,397.22,302.31,300.05,342.46,252.84,31.65,39.54,218.42,34,39.15,122.85,150.73,2021-11-30
과천시,입북동,5.12,40.18,84.71,14.08,53.2,90.89,119.08,108.31,112.72,133.4,156.61,145.12,165.26,185.5,179.71,168.64,139.36,113.75,10.2,25.01,84.76,19.82,12.89,49.48,72.97,2021-11-30
과천시,정자1동,1.93,21.49,78.59,15.79,34.61,83.17,101.22,82.81,101.53,74.46,91.03,140.54,150.89,128.76,134.12,164.83,127.78,113.39,10.82,18.07,73.21,12.4,9.6,47.45,54.44,2021-11-30
